#SkillNo	SkillName	NeedToSelectTarget	SkillType	TargetType	TargetArea	Range	AOE	MinDamage	MaxDamage	UseAp	CD	UseSkillAfterMove	condition	SkillEffectID	sSkillIcon
100030002	Xuân Phong Phất Diện	1	1	1	1	2	0	600	900	200	0	1	500037,500058	100030002	s04008
100031001	Hào Lệnh Thiên Hạ	1	0	2	1	3	0	700	1100	200	0	1	500028,500009	100031001	s01016
100031002	Mạc Cảm Bất Tòng	1	0	2	0	2	0	1200	1600	400	2	1	500002,500008	100031002	s01051
100032001	Mai Hoa Tam Lộng	1	0	2	1	2	0	700	900	80	0	1	500007	100032001	s01001
100032002	Mạn Thiên Hoa Ngữ	1	1	1	0	2	0	1300	1600	300	2	1	500037,500043	100032002	s01002
100032003	Bách Hoa Tề Trán	0	0	2	0	0	1	900	1100	220	2	1	500001,500132	100032003	s01007
100033001	Thiên Độc Vạn Cổ	1	0	2	0	1	0	800	1000	150	0	1	900153	100033001	s03004
100033002	Kim Xà Triền Thân	1	0	2	0	2	1	900	1200	250	3	1	900153,500010	100033002	s03005
100034001	Thiên Kiếm Quyết	1	0	2	0	1	1	1600	1800	200	0	1	500028,500004	100034001	s02002
100034002	Vạn Kiếm Quyết	0	0	2	0	0	2	1800	2000	400	2	1	500004,900102	100034002	s01041
100034003	Thất Kiếm Tru	1	0	2	1	3	0	1200	1400	600	3	1	500013,500039	100034003	s01063
100035001	Kim Châm Độ Kiếp	1	1	1	0	2	0	700	1200	200	2	1	500041,500026	100035001	s04005
100035002	Tĩnh Liên Điệp Vũ	0	1	1	0	0	3	1000	1600	400	3	1	500037,500042	100035002	s04008
100035003	Điểm Huyết Tiệt Mạch	1	0	2	0	2	0	300	400	100	0	1	500004	100013001	s01047
100036001	Lãm Tước Vĩ	1	0	2	0	1	0	500	700	150	0	1	500052	100036001	s01024
100036002	Loạn Hoàn Quyết	1	0	2	0	1	0	900	1100	250	3	1	500016,500021	100036002	s01032
100036003	Hoài Trung Bão Nguyệt	1	0	2	3	1	0	800	1000	400	4	1	500015,500019	100036003	s01048
100036004	Lãm Tước Vĩ	1	0	2	0	1	0	400	600	100	0	1	500052	100036001	s01024
100036005	Loạn Hoàn Quyết	1	0	2	0	1	0	600	800	200	3	1	500016	100036002	s01032
100036006	Lãm Tước Vĩ	1	0	2	0	1	0	300	500	80	0	1	500052	100036001	s01024
100037001	Viên Chuyển Thái Hư	1	0	2	0	1	0	1000	1200	200	0	1	500132	100037001	s01057
100037002	Tự Hữu Nhược Vô	1	0	2	3	1	0	1200	1400	300	2	1	500020,500021	100037003	s02002
100037003	Thái Cực Hóa Thanh	0	0	2	0	0	1	1000	1200	500	3	1	500042,500016	100037002	s01024
100037004	Viên Chuyển Thái Hư	1	0	2	0	1	0	520	650	100	0	1	500132	100037001	s01057
100037005	Tự Hữu Nhược Vô	1	0	2	3	1	0	650	850	200	3	1	500020	100037003	s02002
100037006	Viên Chuyển Thái Hư	1	0	2	0	1	0	470	520	100	0	1	500016	100037001	s01057
100038001	Viên Chuyển Thái Hư	1	0	2	1	2	0	1400	1600	200	0	1	500132,500021	100038001	s01057
100038002	Tự Hữu Nhược Vô	1	0	2	3	1	0	1500	1700	400	2	1	500020,500016	100038003	s02002
100038003	Thái Cực Hóa Thanh	0	0	2	0	0	1	1200	1300	600	3	1	500046,500012	100038002	s01024
100040001	Viên Chuyển Thái Hư	1	0	2	1	2	0	1100	1200	100	0	1	500132,500021	100040001	s01024
100040002	Tự Hữu Nhược Vô	1	0	2	3	1	0	1200	1300	200	2	1	500020,500016	100040002	s01017
100040003	Thái Cực Hóa Thanh	0	0	2	0	0	1	900	1000	300	3	1	500012,500019	100040003	s01031
100041001	Viên Chuyển Thái Hư	1	0	2	1	2	0	800	700	100	0	1	500132	100041001	s01024
100041002	Tự Hữu Nhược Vô	1	0	2	3	1	0	550	650	200	2	1	500020,500016	100041002	s01017
100041003	Thái Cực Hóa Thanh	0	0	2	0	0	1	650	700	300	3	1	500019	100041003	s01031
100042001	Ly Trung Hư	1	0	2	0	1	0	350	400	100	0	1	0	100042001	s01062
100042002	Kiền Tam Liên	1	0	2	0	1	0	400	500	150	2	1	500021	100042002	s01049
100042003	Bách Luyện Thành Nhu	1	0	2	0	1	0	900	1000	200	0	1	0	100037001	s01057
100042004	Dĩ Nhu Khắc Cương	1	0	2	0	1	0	1000	1100	300	2	1	500020	100037002	s02002
100042005	Nhu Vân Kiếm Quyển	0	0	2	0	0	1	900	1000	500	3	1	500012	100037002	s01024
100043001	Đại Nhật Như Lai	1	0	2	0	2	0	800	1000	200	0	1	500009	100043001	s01014
100043002	Tứ Phương Kết Duyên	0	0	2	0	0	1	900	1200	400	3	1	500022,910001	100043002	s01013
100043003	Chư Pháp Giai Không	0	0	2	0	0	1	1100	1400	600	4	1	500042,500020	100043003	s01012
100043004	Đại Nhật Như Lai	1	0	2	0	2	0	500	600	100	0	1	500009	100043001	s01014
100043005	Tứ Phương Kết Duyên	0	0	2	0	0	1	600	700	200	3	1	500022	100043002	s01013
100043006	Đại Nhật Như Lai	1	0	2	0	2	0	400	500	50	0	1	500009	100043001	s01014
100044001	Diệu Đế Pháp Hoa	1	0	2	0	2	0	900	1300	200	0	1	500013,500020	100044001	s01004
100044002	Diệu Đế Như Lai	1	0	2	0	2	0	1000	1200	400	3	1	500002,500132	100044002	s01006
100044003	Nhất Chỉ Độ Chúng Sinh	0	0	2	0	0	3	1200	1400	800	4	1	500000,500001,500051	100044003	s02007
100045001	Đại Nhật Như Lai	1	0	2	0	1	0	1200	1300	200	0	1	500009	100045001	s01059
100045002	Tứ Phương Kết Duyên	0	0	2	0	0	1	1000	1200	300	2	1	500022,910001	100045002	s01025
100045003	Chư Pháp Giai Không	0	0	2	0	0	1	1100	1400	500	3	1	500132,500020	100045003	s01058
100046001	Đại Nhật Như Lai	1	0	2	0	1	0	1200	1300	200	0	1	500009	100046001	s01059
100046002	Tứ Phương Kết Duyên	0	0	2	0	0	1	1000	1200	300	2	1	500022,910001	100046002	s01025
100046003	Chư Pháp Giai Không	0	0	2	0	0	1	1100	1400	400	3	1	500000,500020	100046003	s01058
100047001	Kim Cương Thôi Sơn	1	0	2	0	1	0	1200	1400	200	0	1	500027	100047001	s01059
100047002	Kim Cương Bất Phôi	1	0	2	3	1	0	1300	1400	400	2	1	500008,500022	100047002	s01025
100047003	Kim Cương Như Lai	1	0	2	1	2	0	1000	1200	600	3	1	500000,500001	100047003	s01058
100048001	Vô Minh Ly Dục	1	0	2	0	1	0	900	1000	200	0	1	500009	100048001	s01003
100048002	Diệt Tắc Hành Diệt	1	0	2	0	1	0	1000	1100	400	2	1	500021,500035	100048002	s01001
100048003	Ma Ha Bồ Đề	1	0	2	0	1	0	1100	1200	600	3	1	500000,500001	100048003	s01023
100049001	Vô Minh Ly Dục	1	0	2	0	1	0	600	700	50	0	1	0	100049001	s01001
100049002	Diệt Tắc Hành Diệt	1	0	2	0	1	0	700	800	100	2	1	500022	100049002	s01002
100050001	Thì Cần Phất Thức	1	0	2	0	1	0	800	900	50	0	1	0	100050001	s01014
100050002	Mạc Nhạ Trần Ai	1	0	2	1	2	0	900	1000	100	2	1	500000	100050002	s01013
100051001	Đao Nhiên Bồ Đề	1	0	2	0	1	0	600	700	50	0	1	0	100051001	s01021
100051002	Lập Đao Thành Phật	1	0	2	1	2	0	700	800	150	2	1	500004	100051002	s01026
100052001	Đại Nhật Như Lai	1	0	2	0	1	0	800	900	100	0	1	0	100052001	s01014
100052002	Tứ Phương Kết Duyên	0	0	2	0	0	1	900	1000	200	2	1	500001	100052002	s01013
100053001	Vô Minh Ly Dục	1	0	2	0	1	0	900	1000	100	0	1	0	100053001	s01001
100053002	Diệt Tắc Hành Diệt	1	0	2	0	1	0	1000	1100	200	2	1	500000	100053002	s01007
100054001	Ngân Nguyệt Câu Hồn	1	0	2	1	3	0	600	900	100	0	1	500018,500056	100054001	s01034
100054002	Thất Bảo Thiên Lam	0	0	2	0	0	1	700	800	160	2	1	500003,500027	100054002	s01060
100054003	Nhật Nguyệt Tinh Trần	1	0	2	1	3	0	900	1300	280	3	1	500013	100054003	s01029
100055001	Yên Vụ Di Mạn	1	0	2	0	4	0	200	300	100	0	1	500007	100055001	s05009
100055002	Nhất Công Thăng Đích Nhãn Lệ	0	0	2	0	0	2	300	400	120	3	1	500008,500009	100055002	s05010
100055003	Ngã Thị Nhĩ Thân Muội Muội A	1	0	2	0	2	0	400	600	240	4	1	500002	100055003	s05008
100056004	Ngân Xà Thiên Chuyển	1	0	2	0	2	0	600	900	100	0	1	500052,500028	100056001	s01020
100056005	Bách Thú Chi Cảnh	1	0	2	1	2	0	900	1000	200	2	1	500013	100056002	s01027
100056006	Thiên Xà Cuồng Vũ	0	0	2	0	3	1	1000	1200	300	2	1	500010,500003	100056003	s03003
100056007	Ngân Xà Thiên Chuyển	1	0	2	0	2	0	500	700	100	0	1	500052	100056001	s01020
100056008	Bách Thú Chi Cảnh	1	0	2	1	2	0	700	800	200	2	1	500013	100056002	s01027
100057001	Lôi Đình Vẫn Lạc	1	0	2	0	1	0	900	1000	100	0	1	500027	100057001	s01026
100057002	Phích Lịch Tật Trảm	1	0	2	0	2	0	1000	1200	200	2	1	500004,500052	100057002	s01021
100057003	Tam Thiên Lôi Động	1	0	2	0	2	1	1200	1400	300	3	1	500001,500039	100057003	s01038
100057004	Lôi Đình Vẫn Lạc	1	0	2	0	1	0	500	600	100	0	1	500027	100057001	s01026
100057005	Phích Lịch Tật Trảm	1	0	2	0	1	0	600	700	200	2	1	500004	100057002	s01021
100057006	Lôi Đình Vẫn Lạc	1	0	2	0	1	0	300	400	100	0	1	0	100057001	s01026
100058001	Độc Long Thất Vĩ	0	0	2	0	0	2	400	600	100	0	1	500027,500006	100058001	s03003
100058002	Độc Long Truy Hồn	1	0	2	0	2	0	700	900	200	2	1	500006,500051	100058002	s03004
100058003	Vạn Độc Nhập Hóa	0	0	2	0	0	2	900	1100	300	3	1	500005,500006	100058003	s03005
100059001	Yến Tử Sao Thủy	1	0	2	0	2	0	300	600	100	0	1	500052	100059001	s01015
100059002	Nhũ Yến Quy Sào	1	0	2	0	3	0	700	1000	150	2	1	500052,500017	100059001	s01011
100059003	Mãn Thiên Hoa Vũ	1	0	2	0	2	1	600	900	250	3	1	500007,500004	100059002	s01028
100059004	Yến Tử Sao Thủy	1	0	2	0	2	0	200	400	50	0	1	500052	100059001	s01015
100059005	Nhũ Yến Quy Sào	1	0	2	0	3	0	400	700	100	2	1	500052,500017	100059001	s01011
100060001	Biến Quyền	1	0	2	0	1	0	400	600	80	0	1	500052	100060001,100060002,100060003	s01004
100060002	Phách Thạch Phá Ngọc	1	0	2	0	1	0	800	1200	200	2	1	500052,500039	100060004	s01002
100060003	Biến Quyền	1	0	2	0	1	0	100	250	50	0	1	500052	100060001	s01004
100060004	Thiết Quyền Vô Địch	0	0	2	0	0	1	1600	2000	600	4	1	500027,500047,500013	100999001	s01001
100061001	Yến Phản	1	0	2	0	1	0	800	1200	100	0	1	500132	100061001	s01033
100061002	Cư Hợp	1	0	2	3	1	0	1100	1300	300	3	1	500004,900102	100061002	s01036
100061003	Trảm Nguyệt	1	0	2	1	2	0	1000	1200	500	3	1	500013,500039	100061003	s01043
100061004	Yến Phản	1	0	2	0	1	0	700	800	100	0	1	500132	100061001	s01033
100061005	Cư Hợp	1	0	2	3	1	0	800	900	300	3	1	500004,900102	100061002	s01036
100062001	Yến Phản	1	0	2	0	1	0	800	1200	100	0	1	500132	100062001	s01033
100062002	Cư Hợp	1	0	2	3	1	0	1100	1300	300	3	1	500004,900102	100062002	s01036
100062003	Trảm Nguyệt	1	0	2	1	2	0	1000	1200	500	3	1	500013,500039	100061003	s01043
100063001	Yến Phản	1	0	2	0	1	0	700	800	100	0	1	500132	100063001	s01033
100063002	Cư Hợp	1	0	2	3	1	0	800	900	300	3	1	500004,900102	100063002	s01036
100065001	Đại Khai Đại Hạp	1	0	2	1	2	0	800	1000	200	0	1	500001,500000	100066001	s01014
100066001	Cửu Long Phàn Vân	1	0	2	1	2	1	1000	1200	200	0	1	500008,500001	100066001	s01013
100067001	Độc Long Thất Vĩ	1	0	2	1	2	0	600	700	100	0	1	0	100067001	s03003
100067002	Độc Long Truy Hồn	1	0	2	1	2	0	700	800	200	2	1	500006,500003	100067002	s03004
100067003	Vạn Độc Nhập Hóa	0	1	1	0	0	2	800	1000	300	3	1	500023,500006	100067003	s03005
100067004	Độc Long Thất Vĩ	1	0	2	1	2	0	620	650	50	0	1	0	100067001	s03003
100067005	Độc Long Truy Hồn	1	0	2	1	2	0	720	750	100	2	1	500006,500003	100067002	s03004
100067006	Vạn Độc Nhập Hóa	0	1	1	0	0	0	500	600	150	3	1	500023,500006	100067003	s03005
100068001	Độc Long Thất Vĩ	1	0	2	1	2	0	200	250	50	0	1	0	100068001	s03003
100068002	Độc Long Truy Hồn	1	0	2	1	2	0	300	350	100	2	1	500006	100068002	s03004
100069001	Độc Long Xuất Động	1	0	2	0	1	0	330	360	50	0	1	0	100069001	s03003
100069002	Kim Xà Cuồng Vũ	1	0	2	0	1	0	420	460	100	2	1	500006	100069002	s03004
100070001	Phích Lịch Đao Pháp	1	0	2	0	1	0	300	400	100	0	1	0	100070001	s01026
100070002	Phích Lịch Tật Trảm	1	0	2	0	1	0	400	600	200	2	1	500004	100070002	s01021
100070003	Phích Lịch Đao Pháp	1	0	2	0	1	0	120	180	100	0	1	0	100070001	s01038
100070004	Phích Lịch Đạn	1	0	2	0	3	1	900	1300	200	4	1	500039	100014070	s01023
100070005	Phích Lịch Đạn	1	0	2	0	3	1	300	500	200	4	1	500039	100014070	s01023
100071001	Bạch Hồng Quán Nhật	1	0	2	1	2	0	700	800	100	0	1	500013	100071001	s01020
100071002	Thiên Kiếm Quy Nhất	1	0	2	1	2	0	900	1000	300	2	1	900102,500013	100071002	s01019
100071003	Tổng Quyết Kiếm	0	0	2	0	0	1	1200	1400	500	3	1	500008,500013	100071003	s01022
100072001	Đông Phương Khoái Kiếm	1	0	2	1	2	0	900	1000	100	0	1	500052	100072001	s01020
100072002	Ám Độ Trần Thương	1	0	2	0	2	0	1000	1400	200	2	1	500017,500008	100072002	s01019
100072003	Cuồng Phong Bạo Vũ	1	0	2	2	2	0	600	1200	300	3	1	500007,500013	100072002	s01034
100072004	Đông Phương Khoái Kiếm	1	0	2	1	2	0	600	700	100	0	1	500052	100072001	s01020
100072005	Ám Độ Trần Thương	1	0	2	0	2	0	700	1000	200	2	1	500017	100072002	s01019
100072006	Đông Phương Khoái Kiếm	1	0	2	1	2	0	400	500	100	0	1	500052	100072001	s01020
100073001	Đông Phương Khoái Kiếm	1	0	2	0	1	0	200	300	100	0	1	0	100073001	s01020
100073002	Ám Độ Trần Thương	1	0	2	0	2	0	200	300	200	0	1	500017	100073002	s01019
100073003	Đông Phương Khoái Kiếm	1	0	2	0	1	0	120	180	100	0	1	0	100073001	s01020
100074001	Khí Sở Bàng Bạc	1	0	2	0	3	0	1000	1200	200	0	1	500028,500000	100074001	s01002
100074002	Đương Quán Nhật Nguyệt	1	0	2	0	1	0	1200	1400	400	3	1	500002,500001	100074002	s01006
100074003	Thương Thiên Vô Cực	1	0	2	1	2	0	1800	2000	600	4	1	600021,500042	100074003	s02010
100074004	Khí Sở Bàng Bạc	1	0	2	0	3	0	1600	1800	200	0	1	500028,500001	100074001	s01002
100074005	Đương Quán Nhật Nguyệt	1	0	2	0	1	0	1800	2000	400	2	1	500002	100074002	s01006
100074006	Thương Thiên Vô Cực	1	0	2	1	2	0	2000	2200	600	3	1	500015,600021	100074003	s02010
100075001	Khí Sở Bàng Bạc	1	0	2	0	1	0	1200	1400	100	0	1	500000	100075001	s01003
100075002	Đương Quán Nhật Nguyệt	1	0	2	0	1	0	1300	1500	200	2	1	500001,500009	100075002	s01005
100075003	Thương Thiên Vô Cực	1	0	2	1	2	0	1200	1300	300	3	1	500035,500042	100075003	s01002
100075004	Khí Sở Bàng Bạc	1	0	2	0	1	0	600	700	100	0	1	500000	100075001	s01003
100075005	Đương Quán Nhật Nguyệt	1	0	2	0	1	0	700	800	200	2	1	500001,500009	100075002	s01005
100075006	Khí Sở Bàng Bạc	1	0	2	0	1	0	350	400	100	0	1	500000	100075001	s01002
100077001	Trường Hồng Kinh Thiên	1	0	2	0	1	0	800	900	100	0	1	0	100077001	s01021
100077002	Hồng Quang Sạ Hiện	1	0	2	0	1	0	1000	1200	300	2	1	500018,500009	100077002	s01026
100077003	Hồng Thải Thất Biến	1	0	2	3	1	0	1200	1400	400	3	1	500019,500039	100077003	s01038
100078001	Trường Hồng Kinh Thiên	1	0	2	0	1	0	700	900	100	0	1	0	100078001	s01021
100078002	Hồng Quang Sạ Hiện	1	0	2	0	1	0	900	1200	200	2	1	500008,500018	100078002	s01026
100078003	Hồng Thải Thất Biến	1	0	2	0	1	0	1200	1400	300	3	1	500019,500039	100078003	s01038
100078004	Trường Hồng Kinh Thiên	1	0	2	0	1	0	500	600	100	0	1	0	100078001	s01021
100078005	Hồng Quang Sạ Hiện	1	0	2	0	1	0	600	800	200	3	1	500008,500018	100078002	s01026
100079001	Trường Hồng Kinh Thiên	1	0	2	0	1	0	300	400	40	0	1	0	100079001	s01021
100079002	Hồng Quang Sạ Hiện	1	0	2	0	1	0	400	500	60	2	1	0	100079002	s01026
100079003	Trường Hồng Kinh Thiên	1	0	2	0	1	0	200	300	40	0	1	0	100079001	s01021
100080001	Phi Tinh Trịch	1	0	2	0	3	0	700	800	100	0	1	0	100080001	s01035
100080002	Đoạt Hồn Hãm	1	0	2	0	3	0	800	900	300	3	1	500003,500006	100080002	s01033
100080003	Bạo Vũ Lê Hoa	1	0	2	0	2	1	600	800	500	5	1	500013,500004	100080003	s02001
100081001	Phi Tinh Trịch	1	0	2	0	3	0	600	700	100	0	1	0	100081001	s01015
100081002	Đoạt Hồn Hãm	1	0	2	0	3	0	700	800	200	2	1	500003,500006	100081002	s01042
100081003	Bạo Vũ Lê Hoa	1	0	2	0	2	1	800	900	400	3	1	500007,500004	100081003	s02004
100081004	Phi Tinh Trịch	1	0	2	0	3	0	220	360	80	0	1	0	100081001	s01015
100081005	Đoạt Hồn Hãm	1	0	2	0	2	0	220	360	120	3	1	500003,500006	100081002	s01042
100082001	Tấn Đao	1	0	2	0	5	0	200	300	200	0	1	500052,500014	100082001	s05009
100082002	Xuất Đao	1	0	2	0	3	0	700	900	60	0	1	500052,500013	100082002	s01042
100083001	Phi Tinh Trịch	1	0	2	0	3	0	300	400	100	0	1	0	100083001	s01015
100083002	Phi Tinh Trịch	1	0	2	0	3	0	400	500	200	0	1	0	100083002	s02004
100084001	Phi Nguyệt Lưu Quang	1	0	2	0	1	0	1200	1300	100	0	1	500004	100084001	s01021
100084002	Tuyệt Đao Hợp Chân	1	0	2	1	2	0	1350	1400	250	2	1	500003,500022	100084002	s01026
100084003	Tổng Quyết Đao	0	0	2	0	0	1	1400	1500	300	4	1	500012,500009	100084003	s01038
100085001	Âm Cực Đao	1	0	2	3	1	0	800	1000	120	0	1	500132	100085001	s01021
100085002	Dương Cực Đao	1	0	2	0	1	0	1000	1200	300	2	1	500003,500022	100085002	s01026
100085003	Âm Thác Dương Soa	0	0	2	0	1	1	1200	1400	500	4	1	500012,500008	100085003	s01038
100085004	Âm Cực Đao	1	0	2	3	1	0	500	600	100	0	1	500132	100085001	s01021
100085005	Dương Cực Đao	1	0	2	0	1	0	600	800	200	2	1	500003,500022	100085002	s01026
100085006	Âm Cực Đao	1	0	2	3	1	0	500	600	100	0	1	500132	100085001	s01021
100086001	Âm Cực Đao	1	0	2	0	1	0	300	400	50	0	1	0	100086001	s01026
100086002	Dương Cực Đao	1	0	2	0	1	0	500	600	100	0	1	500022	100086002	s01062
100088001	Thôi Thiên Hiến Ấn	1	0	2	3	1	0	1200	1400	100	0	1	500003	100088001	s01039
100088002	Tá Giáp Trùy Tâm	1	0	2	3	1	0	1400	1500	200	2	1	500008,500132	100088002	s01038
100088003	Đao Vũ Thiên Thu	1	0	2	1	2	0	1000	1200	400	4	1	500039,500004	100088003	s01033
100089001	Ly Tự Quyết	1	0	2	0	1	0	800	900	100	0	1	500003	100089001	s01033
100089002	Trận Tự Quyết	1	0	2	0	1	0	900	1000	200	2	1	500008,500001	100089002	s01036
100089003	Bát Quái Loạn Hoàn Thức	1	0	2	0	1	1	1000	1200	300	3	1	500009,500039	100089003	s01063
100089004	Ly Tự Quyết	1	0	2	0	1	0	440	500	100	0	1	500003	100089001	s01033
100089005	Trận Tự Quyết	1	0	2	0	1	0	500	570	150	2	1	500008,500001	100089002	s01036
100090001	Ly Tự Quyết	1	0	2	0	1	0	200	300	100	0	1	0	100090001	s01021
100090002	Trận Tự Quyết	1	0	2	0	1	0	200	300	200	2	1	500008	100090002	s01028
100090003	Ly Tự Quyết	1	0	2	0	1	0	120	180	100	0	1	0	100090001	s01021
100091001	Kiếm Xuất Vô Ảnh	1	0	2	0	2	0	900	1200	150	0	1	500013	100091001	s02002
100091002	Nhất Kiếm Tam Ảnh	1	0	2	3	1	0	1200	1400	300	2	1	900102,500017	100091002	s01022
100091003	Huyễn Ảnh Vô Hình	1	0	2	0	3	0	1200	1500	400	3	1	900102,500039	100091003	s01049
100092001	Hoành Không Xuất Thế	1	0	2	0	1	0	900	1200	200	0	1	500013	100092003	s02002
100092002	Tứ Diện Sở Ca	0	0	2	0	0	1	1000	1200	400	2	1	500004,500009	100092004	s01022
100092003	Phách Vương Biệt Cơ	1	0	2	1	3	0	1200	1300	500	3	1	500012,500195	100092005	s01049
100092004	Đại Tạp Quái	1	0	2	0	1	0	800	1000	100	0	1	500013	100092001	s02002
100092005	Khứ Vu Tồn Tinh	0	0	2	0	0	1	1200	1400	300	3	1	500004,500009	100092002	s01022
100092006	Đại Tạp Quái	1	0	2	0	1	0	700	1000	100	0	1	500013	100092001	s02002
100093001	Long Hổ Khiếu	1	0	2	0	2	0	1200	1300	100	0	1	0	100093001	s01020
100093002	Thái Sơn Băng	1	0	2	1	3	0	1250	1350	200	2	1	500008	100093002	s01019
100093003	Trấn Ngũ Nhạc	0	0	2	0	0	2	1400	1500	300	4	1	500004,500051,500001	100093003	s01022
100094001	Long Hổ Khiếu	1	0	2	0	2	0	800	900	100	0	1	0	100094001	s01020
100094002	Thái Sơn Băng	1	0	2	1	3	0	900	1000	150	2	1	500132	100094002	s01019
100094003	Trấn Ngũ Nhạc	0	0	2	0	0	2	1000	1200	200	4	1	500004,500051,500001	100094003	s01022
100094004	Long Hổ Khiếu	1	0	2	0	2	0	700	800	100	0	1	0	100094001	s01020
100094005	Thái Sơn Băng	1	0	2	1	3	0	800	900	150	2	1	500132	100094002	s01019
100094006	Long Hổ Khiếu	1	0	2	0	2	0	600	700	80	0	1	0	100094001	s01020
100095001	Trọng Kiếm Vô Phong	1	0	2	0	1	0	400	500	50	0	1	0	100095001	s01020
100095002	Đại Xảo Bất Công	0	1	1	0	0	0	500	600	100	2	1	500034,500036	100095002	s01019
100096001	Thần Nông Trừ Chướng	1	0	2	0	2	0	600	800	100	0	1	0	100096001	s01014
100096002	Khẩu Thí Bách Dược	0	1	1	0	0	0	800	1600	300	2	1	500037,500043	100096002	s04003
100096003	Thần Nông Tể Thế	0	1	1	0	0	3	1400	1800	400	4	1	500037,500041	100096003	s04007
100096004	Thần Nông Trừ Chướng	1	0	2	0	2	0	550	620	80	0	1	0	100096001	s01014
100096005	Khẩu Thí Bách Dược	0	1	1	0	0	0	500	800	200	3	1	500037	100096002	s04003
100097001	Thần Nông Trừ Chướng	1	0	2	0	1	0	320	440	50	0	1	0	100097001	s01014
100097002	Khẩu Thí Bách Dược	0	1	1	0	0	0	250	300	80	3	1	500037	100097002	s04002
100097003	Thần Nông Trừ Chướng	1	0	2	0	1	0	260	320	50	0	1	0	100097001	s01014
100097004	Khẩu Thí Bách Dược	0	1	1	0	0	0	150	200	80	3	1	500037	100097002	s04002
100098001	Phi Long Tại Thiên	1	0	2	0	2	0	1300	1400	200	0	1	500028,500052	100098001	s01003
100098002	Long Chiến Vu Dã	1	0	2	1	3	0	1200	1500	400	3	1	500001,500027	100098002	s02010
100098003	Kháng Long Hữu Hối	1	0	2	1	3	0	1400	1600	600	4	1	500000,500015	100098003	s01053
100098004	Phi Long Tại Thiên	1	0	2	0	2	0	800	900	100	0	1	500028,500052	100098001	s01003
100098005	Long Chiến Vu Dã	1	0	2	1	2	0	800	900	200	3	1	500001,500027	100098002	s02010
100098006	Phi Long Tại Thiên	1	0	2	0	2	0	400	500	100	0	1	500028,500052	100098001	s01003
100099001	Phi Long Tại Thiên	1	0	2	0	2	1	1600	1800	200	0	1	500052,500014	100099001	s01003
100099002	Long Chiến Vu Dã	1	0	2	1	3	0	1800	2000	400	2	1	500001,500052	100099002	s02010
100099003	Kháng Long Hữu Hối	1	0	2	1	3	0	2000	2200	600	4	1	500000,500015	100099003	s01053
100100001	Bổng Đả Cẩu Vĩ	1	0	2	1	2	0	900	1000	100	0	1	500132	100100001	s01014
100100002	Ác Khuyển Vô Nha	1	0	2	1	2	0	1000	1200	200	2	1	500008,500009	100100002	s01013
100100003	Thiên Hạ Phục Cẩu	0	0	2	0	0	1	1200	1400	400	4	1	500001,500039	100100003	s01012
100101001	Bổng Đả Cẩu Vĩ	1	0	2	1	2	0	800	900	100	0	1	0	100101001	s01014
100101002	Ác Khuyển Vô Nha	1	0	2	1	2	0	900	1000	200	2	1	500010,500009	100101002	s01013
100101003	Thiên Hạ Phục Cẩu	0	0	2	0	0	1	1000	1100	300	4	1	500001,500039	100101003	s01012
100102001	Kiến Nhân Thân Thủ	1	0	2	0	1	0	250	320	100	0	1	0	100102001	s01001
100102002	Duyên Môn Thác Bát	1	0	2	0	1	0	300	400	100	2	1	500052	100102002	s01002
100102003	Kiến Nhân Thân Thủ	1	0	2	0	1	0	180	250	100	0	1	0	100102001	s01009
100102004	Kiến Nhân Thân Thủ	1	0	2	0	1	0	350	680	150	0	1	0	100102001	s01001
100102005	Duyên Môn Thác Bát	1	0	2	0	1	0	500	850	200	2	1	0	100102002	s01002
100103001	Liên Hoa Lạc	1	0	2	0	1	0	250	320	100	0	1	0	100103001	s01014
100103002	Phạn Lai Thân Thủ	1	0	2	1	2	0	300	400	100	2	1	500008	100103002	s01013
100104001	Thiên Quỷ Độc	1	0	2	0	2	0	1000	1200	100	0	1	500006	100104001	s03004
100104002	Ách Nan Độc Khí	1	0	2	0	2	1	600	800	200	3	1	500049,500012	100104002	s03005
100105001	Ý Loạn Tình Mê	1	0	2	0	1	0	900	1100	100	0	1	500013	100105001	s02007
100105002	Mê Hồn Thuật	1	0	2	0	2	0	700	900	200	3	1	500013,500002	100105002	s01044
100106001	Bạo Quyền	1	0	2	0	1	0	1100	1200	100	0	1	500008	100106001	s01045
100106002	Giảo Sát	1	0	2	0	1	0	1200	1300	200	2	1	500009,500039	100106002	s01050
100107001	Độc Giảo	1	0	2	0	1	0	900	1000	100	0	1	0	100108001	s01008
100107002	Hoang Giảo	1	0	2	0	1	0	1000	1200	200	4	1	500008,500004	100108002	s01009
100108001	Bạo Quyền	1	0	2	3	1	0	700	800	100	0	1	0	100107001	s01007
100108002	Giảo Sát	1	0	2	0	1	0	800	1000	200	4	1	500009,500001	100107002	s01050
100109001	Sinh Tử Phán	1	0	2	1	2	0	1000	1200	100	0	1	500027	100109001	s03002
100109002	Sinh Tử Vô Thường	1	0	2	0	1	0	1200	1400	300	3	1	500008,500001	100109002	s03004
100110001	Khốc Hào Câu	1	0	2	0	3	0	1200	1400	100	0	1	500028	100110001	s03002
100110002	Diêm Vương Tác Mệnh	1	0	2	0	1	0	1300	1500	300	3	1	500009,500004	100110002	s03004
